ID,Card_name,Card_description,Cost,Type,Construction,Card_sprite,Environment,Life_expectancy,Social_stability,Economics,_goals,_nextCards,_isRoot
0,tax_coal,Coal is highly polluting. A carbon tax puts a monetary price on the real costs imposed on our economy* our communities and our planet by greenhouse gas emissions and the global warming they cause.,1,0,-1,Cards/tax_coal,1,0,0,-1,3,20/21,1
1,pension_security,Your pension helps you to maintain your standard of living in retirement* and savings provide important supplemental income for unforeseen expenses.,2,0,-1,Cards/pension_security,0,0,1,0,10,-1,1
2,public_hospital,In the field of public health* sustainability has been defined as the capacity to maintain program services at a level that will provide ongoing prevention and treatment for a health problem,2,1,-1,Cards/public_hospital,0,1,1,0,3*10,32/36,1
3,tax_tabocco,Increasing taxes on cigarettes is a win-win proposition: significantly increasing cigarette taxes results in fewer kids starting to smoke* and in more adults quitting while at the same time providing substantial revenue to fund important health,-1,1,-1,Cards/tax_tabocco,0,1,0,0,3,-1,1
4,advance_exhaust_gas,A process designed to reduce the amount of pollutants emitted from the burning of fossil fuels at an industrial facility* a power plant* or another source.,1,0,-1,Cards/advance_exhaust_gas,1,0,0,0,7*13*14*15,25,0
5,train_station,In fact* compared to cars and airplanes* trains emit between 66 and 75 percent less carbon. In terms of energy consumption* use of space* and noise levels* trains are far more sustainable too.,2,3,-1,Cards/train_station,0,0,1,1,9*11,-1,1
6,high_way,Sustainability is often an element that informs decisions made during the planning* programming* and design phases of highway construction projects.,2,3,-1,Cards/high_way,0,0,1,1,9*11,18,0
7,tech_talent,Regions recognize that tech workers such as data analysts* web developers* engineers* and the like are a prerequisite for economic development.,2,3,-1,Cards/tech_talent,0,0,0,2,4*8*9,-1,1
8,food_stamp,The official purposes of the Food Stamp were strengthening the agricultural economy and providing improved levels of nutrition among low-income households,1,2,-1,Cards/food_stamp,0,0,1,0,1*2*3*10,-1,1
9,low_cost_housing,Offer quality living conditions to low income communities contributing to more equal and sustainable urban planning.,3,2,-1,Cards/low_cost_housing,0,0,2,0,1*10,-1,0
10,households_subsidy,Help more citizens afford their first household,1,2,-1,Cards/households_subsidy,0,0,1,0,1*10,9,1
11,bike_network,The development of safe cycling as a mode of transport is an important objective of the transformation towards sustainable mobility in cities.,1,0,-1,Cards/bike_network,1,0,0,0,13*14*15,37,1
12,small_business,Create more jobs and circulate the local economy,1,3,-1,Cards/small_business,0,0,0,3,8*10,26,1
13,free_vaccine,Immunization directly impacts health (SDG3) and brings a contribution to 14 out of the 17 Sustainable Development Goals (SDGs),1,1,-1,Cards/free_vaccine,0,1,0,0,3*10,-1,1
14,unemployment,Protect unemployed workers,1,2,-1,Cards/unemployment,0,0,1,0,10,-1,1
15,sewage_treatment,Water treatment reduces the volume of waste that is released into the ecosystem.,3,1,-1,Cards/sewage_treatment,1,2,0,0,6*12,39,1
16,social_security,place holder,0,2,-1,Cards/social_security,0,0,1,0,8*10,19,1
38,minimum_wage,Formulate minimum wage to help bussiness bottom lines,0,2,-1,Cards/minimum_wage,0,0,1,0,1*10,28,1
